station_id,station_name,monitor_time,quality,primary_pollutant,PM2.5_ug_m3,PM10_ug_m3,O3_ug_m3,CO_mg_m3,SO2_ug_m3,NO2_ug_m3,AQI
175,长宁仙霞,2026-06-02 04:00:00,良,-,17.0,19.0,25.0,0.2,7.0,12.0,25
175,长宁仙霞,2026-06-02 05:00:00,良,-,24.0,26.0,15.0,0.2,7.0,21.0,35
175,长宁仙霞,2026-06-02 06:00:00,良,-,25.0,28.0,15.0,0.2,7.0,22.0,36
175,长宁仙霞,2026-06-02 07:00:00,良,-,31.0,33.0,16.0,0.2,7.0,29.0,45
175,长宁仙霞,2026-06-02 08:00:00,良,-,26.0,29.0,24.0,0.3,7.0,26.0,38
175,长宁仙霞,2026-06-02 09:00:00,良,-,24.0,31.0,43.0,0.3,8.0,27.0,35
175,长宁仙霞,2026-06-02 10:00:00,良,-,21.0,38.0,69.0,0.3,9.0,31.0,38
175,长宁仙霞,2026-06-02 11:00:00,良,PM10,22.0,54.0,114.0,0.4,10.0,37.0,53
175,长宁仙霞,2026-06-02 12:00:00,良,O3,25.0,72.0,183.0,0.4,9.0,24.0,79
175,长宁仙霞,2026-06-02 13:00:00,良,O3,,80.0,220.0,0.4,10.0,22.0,110
175,长宁仙霞,2026-06-02 14:00:00,良,O3,,85.0,225.0,0.4,9.0,29.0,113
175,长宁仙霞,2026-06-02 15:00:00,良,O3,25.0,74.0,209.0,0.4,8.0,25.0,105
175,长宁仙霞,2026-06-02 16:00:00,良,O3,26.0,78.0,226.0,0.4,8.0,27.0,113
175,长宁仙霞,2026-06-02 17:00:00,良,PM10,20.0,68.0,157.0,0.4,9.0,31.0,63
175,长宁仙霞,2026-06-02 18:00:00,良,-,15.0,50.0,97.0,0.3,7.0,22.0,50
175,长宁仙霞,2026-06-02 19:00:00,良,-,13.0,40.0,88.0,0.2,7.0,18.0,40
175,长宁仙霞,2026-06-02 20:00:00,良,-,10.0,30.0,76.0,0.2,7.0,20.0,30
175,长宁仙霞,2026-06-02 21:00:00,良,-,10.0,26.0,67.0,0.2,7.0,24.0,26
175,长宁仙霞,2026-06-02 22:00:00,良,-,8.0,20.0,60.0,0.2,7.0,25.0,20
175,长宁仙霞,2026-06-02 23:00:00,良,-,7.0,19.0,56.0,0.2,7.0,23.0,19
175,长宁仙霞,2026-06-03 00:00:00,良,-,11.0,26.0,56.0,0.2,7.0,18.0,26
175,长宁仙霞,2026-06-03 01:00:00,良,-,16.0,36.0,55.0,0.2,7.0,18.0,36
175,长宁仙霞,2026-06-03 02:00:00,良,-,30.0,45.0,51.0,0.2,7.0,21.0,45
175,长宁仙霞,2026-06-03 03:00:00,良,PM2.5,39.0,49.0,51.0,0.2,8.0,22.0,58
183,静安监测站,2026-06-02 04:00:00,良,-,18.0,23.0,33.0,0.6,7.0,15.0,26
183,静安监测站,2026-06-02 05:00:00,良,-,18.0,25.0,32.0,0.5,7.0,15.0,26
183,静安监测站,2026-06-02 06:00:00,良,-,18.0,27.0,32.0,0.5,8.0,17.0,27
183,静安监测站,2026-06-02 07:00:00,良,-,21.0,33.0,28.0,0.8,8.0,25.0,33
183,静安监测站,2026-06-02 08:00:00,良,-,23.0,39.0,40.0,0.7,8.0,27.0,39
183,静安监测站,2026-06-02 09:00:00,良,-,22.0,38.0,52.0,0.7,8.0,28.0,38
183,静安监测站,2026-06-02 10:00:00,良,-,23.0,35.0,87.0,0.9,9.0,28.0,35
183,静安监测站,2026-06-02 11:00:00,良,-,29.0,39.0,138.0,0.9,10.0,26.0,44
183,静安监测站,2026-06-02 12:00:00,良,O3,34.0,42.0,194.0,0.9,10.0,24.0,93
183,静安监测站,2026-06-02 13:00:00,良,O3,39.0,48.0,235.0,0.8,10.0,17.0,118
183,静安监测站,2026-06-02 14:00:00,良,O3,46.0,54.0,242.0,0.9,9.0,18.0,121
183,静安监测站,2026-06-02 15:00:00,良,O3,48.0,56.0,254.0,0.7,9.0,19.0,127
183,静安监测站,2026-06-02 16:00:00,良,O3,49.0,57.0,238.0,0.8,10.0,25.0,119
183,静安监测站,2026-06-02 17:00:00,良,PM2.5,38.0,50.0,139.0,0.7,9.0,26.0,56
183,静安监测站,2026-06-02 18:00:00,良,-,32.0,42.0,100.0,0.6,8.0,22.0,46
183,静安监测站,2026-06-02 19:00:00,良,-,24.0,34.0,88.0,0.6,8.0,21.0,35
183,静安监测站,2026-06-02 20:00:00,良,-,20.0,30.0,77.0,0.6,8.0,23.0,30
183,静安监测站,2026-06-02 21:00:00,良,-,15.0,25.0,71.0,0.6,8.0,23.0,25
183,静安监测站,2026-06-02 22:00:00,良,-,14.0,24.0,59.0,0.6,8.0,30.0,24
183,静安监测站,2026-06-02 23:00:00,良,-,11.0,22.0,59.0,0.5,8.0,26.0,22
183,静安监测站,2026-06-03 00:00:00,良,-,19.0,32.0,59.0,0.6,8.0,22.0,32
183,静安监测站,2026-06-03 01:00:00,良,-,25.0,43.0,64.0,0.6,8.0,19.0,43
183,静安监测站,2026-06-03 02:00:00,良,-,29.0,49.0,52.0,0.6,8.0,24.0,49
183,静安监测站,2026-06-03 03:00:00,良,PM10,32.0,53.0,53.0,0.6,8.0,24.0,53
185,十五厂,2026-06-02 04:00:00,良,-,16.0,21.0,33.0,0.5,5.0,14.0,23
185,十五厂,2026-06-02 05:00:00,良,-,18.0,24.0,26.0,0.5,5.0,21.0,26
185,十五厂,2026-06-02 06:00:00,良,-,22.0,28.0,22.0,0.5,5.0,23.0,32
185,十五厂,2026-06-02 07:00:00,良,-,23.0,27.0,23.0,0.5,5.0,25.0,33
185,十五厂,2026-06-02 08:00:00,良,-,22.0,27.0,38.0,0.6,5.0,21.0,32
185,十五厂,2026-06-02 09:00:00,良,-,28.0,31.0,66.0,0.8,6.0,21.0,40
185,十五厂,2026-06-02 10:00:00,良,-,28.0,34.0,94.0,0.7,6.0,25.0,40
185,十五厂,2026-06-02 11:00:00,良,-,30.0,43.0,138.0,0.7,7.0,25.0,44
185,十五厂,2026-06-02 12:00:00,良,O3,32.0,51.0,195.0,0.7,8.0,22.0,94
185,十五厂,2026-06-02 13:00:00,良,O3,31.0,52.0,231.0,0.7,8.0,18.0,116
185,十五厂,2026-06-02 14:00:00,良,O3,32.0,55.0,244.0,0.7,7.0,16.0,122
185,十五厂,2026-06-02 15:00:00,良,O3,37.0,63.0,250.0,0.7,6.0,20.0,125
185,十五厂,2026-06-02 16:00:00,良,O3,31.0,52.0,188.0,0.8,8.0,28.0,85
185,十五厂,2026-06-02 17:00:00,良,-,26.0,46.0,125.0,0.6,6.0,23.0,46
185,十五厂,2026-06-02 18:00:00,良,-,23.0,36.0,92.0,0.5,6.0,18.0,36
185,十五厂,2026-06-02 19:00:00,良,-,19.0,29.0,82.0,0.6,6.0,20.0,29
185,十五厂,2026-06-02 20:00:00,良,-,17.0,25.0,71.0,0.5,6.0,25.0,25
185,十五厂,2026-06-02 21:00:00,良,-,14.0,20.0,62.0,0.5,6.0,25.0,20
185,十五厂,2026-06-02 22:00:00,良,-,12.0,18.0,49.0,0.5,6.0,27.0,18
185,十五厂,2026-06-02 23:00:00,良,-,14.0,23.0,46.0,0.5,6.0,27.0,23
185,十五厂,2026-06-03 00:00:00,良,-,20.0,30.0,47.0,0.5,5.0,23.0,30
185,十五厂,2026-06-03 01:00:00,良,-,24.0,36.0,47.0,0.5,5.0,22.0,36
185,十五厂,2026-06-03 02:00:00,良,-,28.0,43.0,40.0,0.5,5.0,23.0,43
185,十五厂,2026-06-03 03:00:00,良,PM10,34.0,51.0,37.0,0.5,5.0,25.0,51
193,浦东川沙,2026-06-02 04:00:00,良,-,18.0,23.0,27.0,0.5,6.0,27.0,26
193,浦东川沙,2026-06-02 05:00:00,良,-,23.0,29.0,32.0,0.5,6.0,22.0,33
193,浦东川沙,2026-06-02 06:00:00,良,-,24.0,30.0,31.0,0.5,8.0,29.0,35
193,浦东川沙,2026-06-02 07:00:00,良,-,18.0,23.0,40.0,0.5,7.0,28.0,26
193,浦东川沙,2026-06-02 08:00:00,良,-,16.0,21.0,48.0,0.5,7.0,29.0,23
193,浦东川沙,2026-06-02 09:00:00,良,-,20.0,27.0,51.0,0.6,8.0,37.0,29
193,浦东川沙,2026-06-02 10:00:00,良,-,21.0,30.0,85.0,0.6,8.0,33.0,30
193,浦东川沙,2026-06-02 11:00:00,良,-,19.0,29.0,69.0,0.6,8.0,38.0,29
193,浦东川沙,2026-06-02 12:00:00,良,-,25.0,38.0,95.0,0.8,10.0,38.0,38
193,浦东川沙,2026-06-02 13:00:00,良,PM2.5,39.0,57.0,165.0,1.3,13.0,30.0,58
193,浦东川沙,2026-06-02 14:00:00,良,O3,29.0,43.0,197.0,0.9,11.0,25.0,97
193,浦东川沙,2026-06-02 15:00:00,良,-,23.0,37.0,143.0,0.6,8.0,16.0,45
193,浦东川沙,2026-06-02 16:00:00,良,-,21.0,34.0,110.0,0.5,7.0,13.0,35
193,浦东川沙,2026-06-02 17:00:00,良,-,16.0,24.0,92.0,0.5,7.0,11.0,29
193,浦东川沙,2026-06-02 18:00:00,良,-,9.0,14.0,83.0,0.5,7.0,13.0,26
193,浦东川沙,2026-06-02 19:00:00,良,-,9.0,13.0,74.0,0.5,8.0,19.0,24
193,浦东川沙,2026-06-02 20:00:00,良,-,19.0,28.0,62.0,0.5,7.0,20.0,28
193,浦东川沙,2026-06-02 21:00:00,良,-,8.0,12.0,53.0,0.4,7.0,24.0,17
193,浦东川沙,2026-06-02 22:00:00,良,-,8.0,14.0,28.0,0.5,7.0,40.0,20
193,浦东川沙,2026-06-02 23:00:00,良,-,13.0,22.0,42.0,0.5,7.0,26.0,22
193,浦东川沙,2026-06-03 00:00:00,良,-,16.0,25.0,55.0,0.5,6.0,12.0,25
193,浦东川沙,2026-06-03 01:00:00,良,-,28.0,44.0,49.0,0.5,7.0,19.0,44
193,浦东川沙,2026-06-03 02:00:00,良,-,28.0,42.0,29.0,0.5,7.0,41.0,42
193,浦东川沙,2026-06-03 03:00:00,良,PM2.5,44.0,63.0,27.0,0.5,6.0,49.0,68
195,浦东张江,2026-06-02 04:00:00,良,-,24.0,29.0,22.0,0.2,6.0,31.0,35
195,浦东张江,2026-06-02 05:00:00,良,-,20.0,23.0,28.0,0.2,6.0,21.0,29
195,浦东张江,2026-06-02 06:00:00,良,-,18.0,20.0,36.0,0.1,7.0,19.0,26
195,浦东张江,2026-06-02 07:00:00,良,-,22.0,24.0,34.0,0.2,8.0,27.0,32
195,浦东张江,2026-06-02 08:00:00,良,-,22.0,25.0,39.0,0.2,8.0,29.0,32
195,浦东张江,2026-06-02 09:00:00,良,-,22.0,25.0,58.0,0.2,8.0,24.0,32
195,浦东张江,2026-06-02 10:00:00,良,-,24.0,26.0,94.0,0.3,8.0,23.0,35
195,浦东张江,2026-06-02 11:00:00,良,-,30.0,35.0,141.0,0.5,9.0,27.0,45
