station_id,station_name,monitor_time,quality,primary_pollutant,PM2.5_ug_m3,PM10_ug_m3,O3_ug_m3,CO_mg_m3,SO2_ug_m3,NO2_ug_m3,AQI
175,长宁仙霞,2026-05-16 01:00:00,优,-,15.0,25.0,66.0,0.2,5.0,10.0,25
175,长宁仙霞,2026-05-16 02:00:00,优,-,14.0,23.0,65.0,0.2,5.0,10.0,23
175,长宁仙霞,2026-05-16 03:00:00,优,-,14.0,22.0,65.0,0.2,5.0,10.0,22
175,长宁仙霞,2026-05-16 04:00:00,优,-,14.0,22.0,64.0,0.2,5.0,8.0,22
175,长宁仙霞,2026-05-16 05:00:00,优,-,16.0,25.0,62.0,0.1,6.0,8.0,25
175,长宁仙霞,2026-05-16 06:00:00,优,-,17.0,26.0,64.0,0.2,7.0,8.0,26
175,长宁仙霞,2026-05-16 07:00:00,优,-,20.0,28.0,66.0,0.2,7.0,12.0,29
175,长宁仙霞,2026-05-16 08:00:00,优,-,18.0,29.0,69.0,0.2,7.0,13.0,29
175,长宁仙霞,2026-05-16 09:00:00,优,-,14.0,25.0,80.0,0.2,7.0,9.0,25
175,长宁仙霞,2026-05-16 10:00:00,优,-,13.0,27.0,89.0,0.2,7.0,7.0,28
175,长宁仙霞,2026-05-16 11:00:00,优,-,12.0,31.0,99.0,0.1,6.0,6.0,31
175,长宁仙霞,2026-05-16 12:00:00,优,-,14.0,33.0,103.0,0.2,6.0,7.0,33
175,长宁仙霞,2026-05-16 13:00:00,优,-,14.0,35.0,106.0,0.2,6.0,6.0,35
175,长宁仙霞,2026-05-16 14:00:00,优,-,13.0,34.0,105.0,0.2,7.0,7.0,34
175,长宁仙霞,2026-05-16 15:00:00,优,-,14.0,35.0,106.0,0.2,6.0,6.0,35
175,长宁仙霞,2026-05-16 16:00:00,优,-,13.0,35.0,102.0,0.1,7.0,7.0,35
175,长宁仙霞,2026-05-16 17:00:00,优,-,15.0,36.0,95.0,0.1,8.0,8.0,36
175,长宁仙霞,2026-05-16 18:00:00,优,-,16.0,35.0,91.0,0.2,7.0,10.0,35
175,长宁仙霞,2026-05-16 19:00:00,优,-,18.0,38.0,85.0,0.2,6.0,12.0,38
175,长宁仙霞,2026-05-16 20:00:00,优,-,18.0,37.0,78.0,0.2,6.0,12.0,37
175,长宁仙霞,2026-05-16 21:00:00,优,-,19.0,38.0,70.0,0.2,6.0,15.0,38
175,长宁仙霞,2026-05-16 22:00:00,优,-,20.0,38.0,62.0,0.1,7.0,16.0,38
175,长宁仙霞,2026-05-16 23:00:00,优,-,19.0,35.0,61.0,0.1,7.0,15.0,35
175,长宁仙霞,2026-05-17 00:00:00,优,-,18.0,33.0,65.0,0.1,7.0,11.0,33
183,静安监测站,2026-05-16 01:00:00,优,,14.0,25.0,67.0,0.6,,14.0,
183,静安监测站,2026-05-16 02:00:00,优,-,12.0,22.0,70.0,0.6,8.0,12.0,22
183,静安监测站,2026-05-16 03:00:00,优,-,12.0,22.0,72.0,0.6,8.0,10.0,23
183,静安监测站,2026-05-16 04:00:00,优,-,13.0,24.0,67.0,0.6,8.0,12.0,24
183,静安监测站,2026-05-16 05:00:00,优,-,15.0,26.0,66.0,0.6,9.0,12.0,26
183,静安监测站,2026-05-16 06:00:00,优,-,17.0,28.0,69.0,0.6,9.0,13.0,28
183,静安监测站,2026-05-16 07:00:00,优,-,18.0,30.0,71.0,0.6,9.0,15.0,30
183,静安监测站,2026-05-16 08:00:00,优,-,15.0,28.0,75.0,0.6,8.0,16.0,28
183,静安监测站,2026-05-16 09:00:00,优,-,13.0,25.0,85.0,0.6,8.0,12.0,27
183,静安监测站,2026-05-16 10:00:00,优,-,12.0,24.0,94.0,0.6,8.0,10.0,30
183,静安监测站,2026-05-16 11:00:00,优,-,11.0,24.0,105.0,0.5,8.0,8.0,33
183,静安监测站,2026-05-16 12:00:00,优,-,11.0,23.0,110.0,0.6,8.0,7.0,35
183,静安监测站,2026-05-16 13:00:00,优,-,11.0,24.0,110.0,0.6,8.0,7.0,35
183,静安监测站,2026-05-16 14:00:00,优,-,12.0,25.0,111.0,0.6,8.0,7.0,35
183,静安监测站,2026-05-16 15:00:00,优,,11.0,25.0,110.0,0.6,,7.0,
183,静安监测站,2026-05-16 16:00:00,优,,12.0,27.0,107.0,0.6,,8.0,
183,静安监测站,2026-05-16 17:00:00,优,,12.0,27.0,99.0,0.6,10.0,,
183,静安监测站,2026-05-16 18:00:00,优,,,,95.0,,8.0,9.0,
183,静安监测站,2026-05-16 19:00:00,优,,13.0,28.0,90.0,,8.0,11.0,
183,静安监测站,2026-05-16 20:00:00,优,-,14.0,32.0,83.0,0.6,8.0,14.0,32
183,静安监测站,2026-05-16 21:00:00,优,,16.0,34.0,,,,,
183,静安监测站,2026-05-16 22:00:00,优,,17.0,37.0,,0.6,8.0,14.0,
183,静安监测站,2026-05-16 23:00:00,优,-,15.0,35.0,64.0,0.6,8.0,16.0,35
183,静安监测站,2026-05-17 00:00:00,优,-,16.0,36.0,64.0,0.6,9.0,16.0,36
185,十五厂,2026-05-16 01:00:00,优,-,17.0,25.0,60.0,0.5,6.0,12.0,25
185,十五厂,2026-05-16 02:00:00,优,-,15.0,21.0,66.0,0.5,6.0,9.0,22
185,十五厂,2026-05-16 03:00:00,优,-,15.0,23.0,64.0,0.5,6.0,9.0,23
185,十五厂,2026-05-16 04:00:00,优,-,17.0,30.0,57.0,0.5,6.0,10.0,30
185,十五厂,2026-05-16 05:00:00,优,-,20.0,35.0,59.0,0.5,6.0,9.0,35
185,十五厂,2026-05-16 06:00:00,优,-,22.0,38.0,56.0,0.5,6.0,12.0,38
185,十五厂,2026-05-16 07:00:00,优,-,22.0,38.0,61.0,0.5,6.0,16.0,38
185,十五厂,2026-05-16 08:00:00,优,-,17.0,30.0,67.0,0.5,6.0,16.0,30
185,十五厂,2026-05-16 09:00:00,优,-,13.0,26.0,78.0,0.5,6.0,12.0,26
185,十五厂,2026-05-16 10:00:00,优,-,12.0,26.0,88.0,0.5,6.0,11.0,28
185,十五厂,2026-05-16 11:00:00,优,-,12.0,28.0,97.0,0.5,6.0,9.0,31
185,十五厂,2026-05-16 12:00:00,优,-,14.0,34.0,104.0,0.5,6.0,8.0,34
185,十五厂,2026-05-16 13:00:00,优,-,15.0,37.0,102.0,0.5,6.0,9.0,37
185,十五厂,2026-05-16 14:00:00,优,-,13.0,34.0,103.0,0.5,6.0,9.0,34
185,十五厂,2026-05-16 15:00:00,优,-,11.0,32.0,102.0,0.4,6.0,9.0,32
185,十五厂,2026-05-16 16:00:00,优,-,11.0,32.0,100.0,0.4,6.0,8.0,32
185,十五厂,2026-05-16 17:00:00,优,-,13.0,35.0,91.0,0.4,7.0,10.0,35
185,十五厂,2026-05-16 18:00:00,优,-,16.0,38.0,87.0,0.5,6.0,12.0,38
185,十五厂,2026-05-16 19:00:00,优,-,20.0,42.0,83.0,0.5,5.0,14.0,42
185,十五厂,2026-05-16 20:00:00,优,-,18.0,38.0,74.0,0.5,6.0,16.0,38
185,十五厂,2026-05-16 21:00:00,优,-,18.0,36.0,73.0,0.5,6.0,11.0,36
185,十五厂,2026-05-16 22:00:00,优,-,17.0,34.0,68.0,0.5,6.0,12.0,34
185,十五厂,2026-05-16 23:00:00,优,-,17.0,32.0,61.0,0.5,6.0,15.0,32
185,十五厂,2026-05-17 00:00:00,优,-,17.0,31.0,61.0,0.5,6.0,14.0,31
193,浦东川沙,2026-05-16 01:00:00,优,-,16.0,30.0,63.0,0.5,9.0,19.0,30
193,浦东川沙,2026-05-16 02:00:00,优,-,19.0,37.0,46.0,0.6,9.0,28.0,37
193,浦东川沙,2026-05-16 03:00:00,优,-,21.0,40.0,42.0,0.5,9.0,29.0,40
193,浦东川沙,2026-05-16 04:00:00,优,-,20.0,36.0,40.0,0.6,9.0,35.0,36
193,浦东川沙,2026-05-16 05:00:00,优,-,20.0,34.0,56.0,0.6,9.0,22.0,34
193,浦东川沙,2026-05-16 06:00:00,优,-,19.0,30.0,59.0,0.6,10.0,26.0,30
193,浦东川沙,2026-05-16 07:00:00,优,-,17.0,27.0,60.0,0.6,10.0,30.0,27
193,浦东川沙,2026-05-16 08:00:00,优,-,16.0,26.0,74.0,0.6,10.0,19.0,26
193,浦东川沙,2026-05-16 09:00:00,优,-,14.0,26.0,80.0,0.6,10.0,17.0,26
193,浦东川沙,2026-05-16 10:00:00,优,-,12.0,26.0,90.0,0.6,10.0,15.0,29
193,浦东川沙,2026-05-16 11:00:00,优,-,12.0,29.0,97.0,0.6,10.0,15.0,31
193,浦东川沙,2026-05-16 12:00:00,优,-,11.0,28.0,106.0,0.6,10.0,11.0,34
193,浦东川沙,2026-05-16 13:00:00,优,-,11.0,28.0,108.0,0.6,9.0,10.0,34
193,浦东川沙,2026-05-16 14:00:00,优,-,12.0,31.0,105.0,0.5,10.0,13.0,33
193,浦东川沙,2026-05-16 15:00:00,优,-,12.0,34.0,104.0,0.5,10.0,13.0,34
193,浦东川沙,2026-05-16 16:00:00,优,-,12.0,35.0,99.0,0.5,10.0,12.0,35
193,浦东川沙,2026-05-16 17:00:00,优,-,12.0,34.0,94.0,0.5,10.0,13.0,34
193,浦东川沙,2026-05-16 18:00:00,优,-,12.0,33.0,91.0,0.5,9.0,13.0,33
193,浦东川沙,2026-05-16 19:00:00,优,-,14.0,34.0,88.0,0.5,9.0,12.0,34
193,浦东川沙,2026-05-16 20:00:00,优,-,15.0,40.0,76.0,0.5,9.0,19.0,40
193,浦东川沙,2026-05-16 21:00:00,优,-,16.0,44.0,72.0,0.5,9.0,19.0,44
193,浦东川沙,2026-05-16 22:00:00,优,-,16.0,40.0,75.0,0.5,9.0,14.0,40
193,浦东川沙,2026-05-16 23:00:00,优,-,17.0,40.0,68.0,0.5,9.0,15.0,40
193,浦东川沙,2026-05-17 00:00:00,优,-,18.0,40.0,65.0,0.5,9.0,15.0,40
195,浦东张江,2026-05-16 01:00:00,优,-,15.0,28.0,69.0,0.1,7.0,12.0,28
195,浦东张江,2026-05-16 02:00:00,优,-,14.0,27.0,68.0,0.1,6.0,11.0,27
195,浦东张江,2026-05-16 03:00:00,优,-,14.0,28.0,64.0,0.1,7.0,11.0,28
195,浦东张江,2026-05-16 04:00:00,优,-,18.0,34.0,53.0,0.1,6.0,14.0,34
195,浦东张江,2026-05-16 05:00:00,优,-,20.0,35.0,50.0,0.1,7.0,20.0,35
195,浦东张江,2026-05-16 06:00:00,优,-,22.0,37.0,54.0,0.1,7.0,19.0,37
195,浦东张江,2026-05-16 07:00:00,优,-,19.0,30.0,63.0,0.1,7.0,20.0,30
195,浦东张江,2026-05-16 08:00:00,优,-,15.0,27.0,73.0,0.1,7.0,16.0,27
195,浦东张江,2026-05-16 09:00:00,优,-,15.0,28.0,77.0,0.1,7.0,14.0,28
195,浦东张江,2026-05-16 10:00:00,优,-,12.0,24.0,94.0,0.1,6.0,9.0,30
195,浦东张江,2026-05-16 11:00:00,优,-,11.0,24.0,104.0,0.0,6.0,6.0,33
195,浦东张江,2026-05-16 12:00:00,优,-,11.0,22.0,108.0,0.0,6.0,6.0,34
195,浦东张江,2026-05-16 13:00:00,优,-,11.0,23.0,109.0,0.0,6.0,6.0,35
195,浦东张江,2026-05-16 14:00:00,优,-,11.0,25.0,108.0,0.0,7.0,6.0,34
195,浦东张江,2026-05-16 15:00:00,优,-,12.0,27.0,108.0,0.0,7.0,6.0,34
195,浦东张江,2026-05-16 16:00:00,优,-,12.0,28.0,106.0,0.0,7.0,5.0,34
195,浦东张江,2026-05-16 17:00:00,优,-,12.0,28.0,98.0,0.3,7.0,4.0,31
195,浦东张江,2026-05-16 18:00:00,优,-,11.0,27.0,94.0,0.0,6.0,5.0,30
195,浦东张江,2026-05-16 19:00:00,优,-,12.0,29.0,91.0,0.0,6.0,8.0,29
195,浦东张江,2026-05-16 20:00:00,优,,14.0,32.0,,0.1,6.0,10.0,
195,浦东张江,2026-05-16 21:00:00,优,-,18.0,42.0,80.0,0.1,7.0,9.0,42
195,浦东张江,2026-05-16 22:00:00,优,-,16.0,38.0,77.0,0.1,7.0,10.0,38
195,浦东张江,2026-05-16 23:00:00,优,-,16.0,37.0,70.0,0.2,7.0,13.0,37
195,浦东张江,2026-05-17 00:00:00,优,-,17.0,42.0,59.0,0.2,7.0,17.0,42
201,普陀,2026-05-16 01:00:00,优,-,16.0,27.0,67.0,0.3,5.0,13.0,27
201,普陀,2026-05-16 02:00:00,优,-,15.0,26.0,69.0,0.3,5.0,12.0,26
201,普陀,2026-05-16 03:00:00,优,-,14.0,25.0,70.0,0.3,5.0,11.0,25
201,普陀,2026-05-16 04:00:00,优,-,15.0,25.0,68.0,0.3,5.0,11.0,25
201,普陀,2026-05-16 05:00:00,优,-,18.0,28.0,65.0,0.3,6.0,12.0,28
201,普陀,2026-05-16 06:00:00,优,-,20.0,31.0,69.0,0.3,6.0,12.0,31
201,普陀,2026-05-16 07:00:00,优,-,20.0,32.0,71.0,0.3,6.0,14.0,32
201,普陀,2026-05-16 08:00:00,优,-,16.0,30.0,75.0,0.3,6.0,16.0,30
201,普陀,2026-05-16 09:00:00,优,-,13.0,25.0,84.0,0.3,5.0,13.0,27
201,普陀,2026-05-16 10:00:00,优,-,12.0,24.0,91.0,0.3,5.0,11.0,29
201,普陀,2026-05-16 11:00:00,优,-,11.0,24.0,102.0,0.3,5.0,9.0,32
201,普陀,2026-05-16 12:00:00,优,-,10.0,26.0,109.0,0.3,5.0,8.0,35
201,普陀,2026-05-16 13:00:00,优,-,12.0,35.0,110.0,0.3,5.0,8.0,35
201,普陀,2026-05-16 14:00:00,优,-,11.0,29.0,109.0,0.3,5.0,8.0,35
201,普陀,2026-05-16 15:00:00,优,-,11.0,27.0,109.0,0.3,5.0,8.0,35
201,普陀,2026-05-16 16:00:00,优,-,12.0,30.0,106.0,0.3,5.0,8.0,34
201,普陀,2026-05-16 17:00:00,优,-,12.0,31.0,98.0,0.3,6.0,9.0,31
201,普陀,2026-05-16 18:00:00,优,-,12.0,32.0,93.0,0.3,6.0,10.0,32
201,普陀,2026-05-16 19:00:00,优,-,14.0,33.0,89.0,0.3,5.0,11.0,33
201,普陀,2026-05-16 20:00:00,优,-,15.0,35.0,82.0,0.3,5.0,12.0,35
201,普陀,2026-05-16 21:00:00,优,-,18.0,37.0,74.0,0.3,5.0,15.0,37
201,普陀,2026-05-16 22:00:00,优,-,19.0,38.0,69.0,0.3,5.0,16.0,38
201,普陀,2026-05-16 23:00:00,优,-,18.0,36.0,66.0,0.3,6.0,16.0,36
201,普陀,2026-05-17 00:00:00,优,-,18.0,36.0,66.0,0.3,5.0,16.0,36
207,冠生园路458号,2026-05-16 01:00:00,优,-,16.0,26.0,59.0,0.4,5.0,13.0,26
207,冠生园路458号,2026-05-16 02:00:00,优,-,14.0,26.0,56.0,0.4,5.0,13.0,26
207,冠生园路458号,2026-05-16 03:00:00,优,-,13.0,25.0,55.0,0.4,5.0,13.0,25
207,冠生园路458号,2026-05-16 04:00:00,优,-,13.0,26.0,55.0,0.4,5.0,13.0,26
207,冠生园路458号,2026-05-16 05:00:00,优,-,15.0,27.0,55.0,0.4,5.0,11.0,27
207,冠生园路458号,2026-05-16 06:00:00,优,-,17.0,31.0,54.0,0.4,5.0,12.0,31
207,冠生园路458号,2026-05-16 07:00:00,优,-,19.0,34.0,60.0,0.4,5.0,15.0,34
207,冠生园路458号,2026-05-16 08:00:00,优,-,17.0,30.0,62.0,0.5,5.0,16.0,30
207,冠生园路458号,2026-05-16 09:00:00,优,-,12.0,23.0,74.0,0.5,5.0,11.0,24
207,冠生园路458号,2026-05-16 10:00:00,优,-,12.0,21.0,83.0,0.4,5.0,9.0,26
207,冠生园路458号,2026-05-16 11:00:00,优,-,10.0,20.0,91.0,0.4,5.0,8.0,29
207,冠生园路458号,2026-05-16 12:00:00,优,-,10.0,22.0,98.0,0.4,6.0,6.0,31
207,冠生园路458号,2026-05-16 13:00:00,优,-,11.0,24.0,100.0,0.4,6.0,7.0,32
207,冠生园路458号,2026-05-16 14:00:00,优,-,11.0,25.0,100.0,0.4,6.0,7.0,32
207,冠生园路458号,2026-05-16 15:00:00,优,-,12.0,26.0,100.0,0.4,6.0,8.0,32
207,冠生园路458号,2026-05-16 16:00:00,优,-,11.0,27.0,97.0,0.4,6.0,8.0,31
207,冠生园路458号,2026-05-16 17:00:00,优,-,11.0,27.0,93.0,0.4,6.0,8.0,30
207,冠生园路458号,2026-05-16 18:00:00,优,-,13.0,31.0,91.0,0.4,6.0,10.0,31
207,冠生园路458号,2026-05-16 19:00:00,优,-,13.0,34.0,81.0,0.4,6.0,14.0,34
207,冠生园路458号,2026-05-16 20:00:00,优,-,14.0,37.0,73.0,0.4,6.0,16.0,37
207,冠生园路458号,2026-05-16 21:00:00,优,-,15.0,41.0,64.0,0.4,5.0,18.0,41
207,冠生园路458号,2026-05-16 22:00:00,优,-,16.0,41.0,55.0,0.4,5.0,20.0,41
207,冠生园路458号,2026-05-16 23:00:00,优,-,15.0,38.0,52.0,0.4,5.0,21.0,38
207,冠生园路458号,2026-05-17 00:00:00,优,-,15.0,36.0,61.0,0.4,5.0,14.0,36
209,宁武路151号,2026-05-16 01:00:00,优,-,16.0,29.0,59.0,0.2,7.0,15.0,29
209,宁武路151号,2026-05-16 02:00:00,优,-,17.0,28.0,59.0,0.2,6.0,14.0,28
209,宁武路151号,2026-05-16 03:00:00,优,-,18.0,29.0,57.0,0.2,6.0,12.0,29
209,宁武路151号,2026-05-16 04:00:00,优,-,19.0,32.0,51.0,0.2,6.0,15.0,32
209,宁武路151号,2026-05-16 05:00:00,优,-,23.0,35.0,42.0,0.3,6.0,22.0,35
209,宁武路151号,2026-05-16 06:00:00,优,-,23.0,34.0,50.0,0.3,6.0,19.0,34
209,宁武路151号,2026-05-16 07:00:00,优,-,20.0,33.0,50.0,0.3,6.0,28.0,33
209,宁武路151号,2026-05-16 08:00:00,优,-,18.0,38.0,54.0,0.3,6.0,30.0,38
209,宁武路151号,2026-05-16 09:00:00,优,-,16.0,43.0,59.0,0.3,7.0,29.0,43
209,宁武路151号,2026-05-16 10:00:00,优,-,14.0,49.0,71.0,0.2,7.0,24.0,49
209,宁武路151号,2026-05-16 11:00:00,优,PM10,14.0,64.0,81.0,0.2,7.0,22.0,60
209,宁武路151号,2026-05-16 12:00:00,优,PM10,10.0,59.0,97.0,0.2,7.0,12.0,57
209,宁武路151号,2026-05-16 13:00:00,优,PM10,9.0,59.0,96.0,0.2,7.0,14.0,57
209,宁武路151号,2026-05-16 14:00:00,优,PM10,10.0,67.0,95.0,0.2,7.0,14.0,63
209,宁武路151号,2026-05-16 15:00:00,优,PM10,11.0,68.0,94.0,0.2,7.0,15.0,63
209,宁武路151号,2026-05-16 16:00:00,优,PM10,13.0,70.0,89.0,0.2,7.0,18.0,65
209,宁武路151号,2026-05-16 17:00:00,优,PM10,15.0,65.0,83.0,0.2,7.0,18.0,61
209,宁武路151号,2026-05-16 18:00:00,优,PM10,14.0,52.0,78.0,0.2,7.0,17.0,52
209,宁武路151号,2026-05-16 19:00:00,优,,14.0,46.0,76.0,,,15.0,
209,宁武路151号,2026-05-16 20:00:00,优,,17.0,49.0,69.0,0.2,7.0,,
209,宁武路151号,2026-05-16 21:00:00,优,,,,,0.2,7.0,16.0,
209,宁武路151号,2026-05-16 22:00:00,优,,19.0,47.0,,0.2,7.0,17.0,
209,宁武路151号,2026-05-16 23:00:00,优,-,19.0,45.0,63.0,0.2,7.0,15.0,45
209,宁武路151号,2026-05-17 00:00:00,优,-,20.0,46.0,56.0,0.2,7.0,18.0,46
215,虹口,2026-05-16 01:00:00,优,-,14.0,22.0,65.0,0.3,4.0,10.0,22
215,虹口,2026-05-16 02:00:00,优,-,12.0,19.0,68.0,0.3,4.0,8.0,22
215,虹口,2026-05-16 03:00:00,优,-,12.0,20.0,66.0,0.3,4.0,7.0,21
215,虹口,2026-05-16 04:00:00,优,-,13.0,22.0,63.0,0.3,4.0,8.0,22
215,虹口,2026-05-16 05:00:00,优,-,15.0,26.0,53.0,0.3,4.0,15.0,26
215,虹口,2026-05-16 06:00:00,优,-,16.0,27.0,59.0,0.3,5.0,14.0,27
215,虹口,2026-05-16 07:00:00,优,-,16.0,26.0,63.0,0.3,5.0,15.0,26
215,虹口,2026-05-16 08:00:00,优,-,14.0,24.0,66.0,0.3,5.0,16.0,24
215,虹口,2026-05-16 09:00:00,优,-,12.0,22.0,76.0,0.3,5.0,11.0,24
215,虹口,2026-05-16 10:00:00,优,-,10.0,22.0,86.0,0.3,4.0,8.0,27
215,虹口,2026-05-16 11:00:00,优,-,10.0,22.0,96.0,0.3,5.0,6.0,30
215,虹口,2026-05-16 12:00:00,优,-,11.0,23.0,104.0,0.3,4.0,5.0,33
215,虹口,2026-05-16 13:00:00,优,-,11.0,22.0,105.0,0.3,4.0,4.0,33
215,虹口,2026-05-16 14:00:00,优,-,10.0,21.0,104.0,0.3,4.0,3.0,33
215,虹口,2026-05-16 15:00:00,优,-,11.0,23.0,105.0,0.3,5.0,3.0,33
215,虹口,2026-05-16 16:00:00,优,-,12.0,25.0,103.0,0.3,5.0,4.0,33
215,虹口,2026-05-16 17:00:00,优,-,12.0,24.0,96.0,0.3,5.0,4.0,30
215,虹口,2026-05-16 18:00:00,优,-,13.0,25.0,89.0,0.3,5.0,5.0,28
215,虹口,2026-05-16 19:00:00,优,-,13.0,26.0,87.0,0.3,4.0,6.0,28
215,虹口,2026-05-16 20:00:00,优,-,12.0,27.0,81.0,0.3,4.0,7.0,27
215,虹口,2026-05-16 21:00:00,优,-,14.0,31.0,75.0,0.3,4.0,8.0,31
215,虹口,2026-05-16 22:00:00,优,-,15.0,33.0,72.0,0.3,5.0,9.0,33
215,虹口,2026-05-16 23:00:00,优,-,14.0,30.0,69.0,0.3,4.0,10.0,30
215,虹口,2026-05-17 00:00:00,优,-,14.0,33.0,62.0,0.3,4.0,12.0,33
217,浦东惠南,2026-05-16 01:00:00,优,-,15.0,25.0,69.0,0.5,6.0,11.0,25
217,浦东惠南,2026-05-16 02:00:00,优,-,16.0,26.0,60.0,0.5,6.0,13.0,26
217,浦东惠南,2026-05-16 03:00:00,优,-,17.0,26.0,63.0,0.5,6.0,10.0,26
217,浦东惠南,2026-05-16 04:00:00,优,-,22.0,31.0,53.0,0.5,6.0,14.0,32
217,浦东惠南,2026-05-16 05:00:00,优,-,22.0,31.0,54.0,0.5,6.0,13.0,32
217,浦东惠南,2026-05-16 06:00:00,优,-,29.0,37.0,64.0,0.5,7.0,14.0,42
217,浦东惠南,2026-05-16 07:00:00,优,-,20.0,26.0,76.0,0.5,7.0,12.0,29
217,浦东惠南,2026-05-16 08:00:00,优,-,18.0,25.0,79.0,0.5,7.0,14.0,26
217,浦东惠南,2026-05-16 09:00:00,优,-,13.0,22.0,90.0,0.5,7.0,10.0,29
217,浦东惠南,2026-05-16 10:00:00,优,,12.0,20.0,,0.5,7.0,8.0,
217,浦东惠南,2026-05-16 11:00:00,优,,12.0,23.0,107.0,,9.0,,
217,浦东惠南,2026-05-16 12:00:00,优,-,12.0,22.0,111.0,0.5,8.0,6.0,35
217,浦东惠南,2026-05-16 13:00:00,优,-,11.0,18.0,112.0,0.5,8.0,5.0,35
