station_id,station_name,monitor_time,quality,primary_pollutant,PM2.5_ug_m3,PM10_ug_m3,O3_ug_m3,CO_mg_m3,SO2_ug_m3,NO2_ug_m3,AQI
175,长宁仙霞,2026-08-01 01:00:00,良,PM10,28.0,53.0,118.0,0.4,7.0,13.0,53
175,长宁仙霞,2026-08-01 02:00:00,良,-,26.0,50.0,98.0,0.4,7.0,14.0,50
175,长宁仙霞,2026-08-01 03:00:00,良,,26.0,50.0,66.0,0.4,,16.0,
175,长宁仙霞,2026-08-01 04:00:00,良,-,26.0,49.0,49.0,0.4,8.0,21.0,49
175,长宁仙霞,2026-08-01 05:00:00,良,-,26.0,48.0,54.0,0.4,8.0,20.0,48
175,长宁仙霞,2026-08-01 06:00:00,良,,25.0,48.0,,0.4,8.0,26.0,
175,长宁仙霞,2026-08-01 07:00:00,良,-,24.0,50.0,92.0,0.4,8.0,24.0,50
175,长宁仙霞,2026-08-01 08:00:00,良,-,23.0,40.0,57.0,0.4,9.0,26.0,40
175,长宁仙霞,2026-08-01 09:00:00,良,-,21.0,30.0,63.0,0.5,9.0,24.0,30
175,长宁仙霞,2026-08-01 10:00:00,良,-,24.0,35.0,130.0,0.5,9.0,18.0,41
175,长宁仙霞,2026-08-01 11:00:00,良,O3,23.0,38.0,163.0,0.5,9.0,17.0,54
175,长宁仙霞,2026-08-01 12:00:00,良,O3,23.0,42.0,189.0,0.5,8.0,19.0,87
175,长宁仙霞,2026-08-01 13:00:00,良,O3,19.0,36.0,183.0,0.4,8.0,12.0,79
175,长宁仙霞,2026-08-01 14:00:00,良,O3,20.0,36.0,190.0,0.4,8.0,10.0,88
175,长宁仙霞,2026-08-01 15:00:00,良,O3,21.0,34.0,179.0,0.4,8.0,12.0,74
175,长宁仙霞,2026-08-01 16:00:00,良,-,23.0,26.0,120.0,0.4,7.0,11.0,38
175,长宁仙霞,2026-08-01 17:00:00,良,-,29.0,,106.0,0.4,7.0,18.0,42
175,长宁仙霞,2026-08-01 18:00:00,良,-,30.0,,84.0,0.5,7.0,24.0,43
175,长宁仙霞,2026-08-01 19:00:00,良,PM2.5,40.0,41.0,63.0,0.7,7.0,33.0,60
175,长宁仙霞,2026-08-01 20:00:00,良,PM2.5,43.0,45.0,70.0,0.6,7.0,37.0,66
175,长宁仙霞,2026-08-01 21:00:00,良,PM2.5,40.0,44.0,98.0,0.5,7.0,29.0,60
175,长宁仙霞,2026-08-01 22:00:00,良,,43.0,58.0,,0.5,7.0,24.0,
175,长宁仙霞,2026-08-01 23:00:00,良,PM10,39.0,62.0,99.0,0.5,7.0,18.0,59
175,长宁仙霞,2026-08-02 00:00:00,良,PM10,34.0,57.0,81.0,0.5,7.0,14.0,55
183,静安监测站,2026-08-01 01:00:00,良,-,25.0,41.0,145.0,0.8,8.0,12.0,46
183,静安监测站,2026-08-01 02:00:00,良,-,24.0,39.0,124.0,0.8,8.0,14.0,39
183,静安监测站,2026-08-01 03:00:00,良,,24.0,38.0,,0.8,8.0,14.0,
183,静安监测站,2026-08-01 04:00:00,良,-,24.0,37.0,96.0,0.8,8.0,14.0,37
183,静安监测站,2026-08-01 05:00:00,良,-,25.0,38.0,84.0,0.8,8.0,15.0,38
183,静安监测站,2026-08-01 06:00:00,良,-,26.0,37.0,68.0,0.8,10.0,21.0,38
183,静安监测站,2026-08-01 07:00:00,良,-,23.0,36.0,64.0,0.8,8.0,24.0,36
183,静安监测站,2026-08-01 08:00:00,良,-,23.0,36.0,80.0,0.9,8.0,24.0,36
183,静安监测站,2026-08-01 09:00:00,良,-,22.0,34.0,112.0,1.0,8.0,25.0,35
183,静安监测站,2026-08-01 10:00:00,良,-,23.0,34.0,160.0,1.0,8.0,19.0,50
183,静安监测站,2026-08-01 11:00:00,良,O3,28.0,39.0,198.0,0.9,8.0,24.0,98
183,静安监测站,2026-08-01 12:00:00,良,O3,27.0,35.0,215.0,0.8,8.0,11.0,108
183,静安监测站,2026-08-01 13:00:00,良,O3,26.0,31.0,203.0,0.8,7.0,9.0,102
183,静安监测站,2026-08-01 14:00:00,良,O3,26.0,32.0,217.0,0.7,8.0,11.0,109
183,静安监测站,2026-08-01 15:00:00,良,O3,26.0,33.0,205.0,0.7,8.0,15.0,103
