station_id,station_name,monitor_time,quality,primary_pollutant,PM2.5_ug_m3,PM10_ug_m3,O3_ug_m3,CO_mg_m3,SO2_ug_m3,NO2_ug_m3,AQI
175,长宁仙霞,2026-06-26 02:00:00,优,-,19.0,26.0,33.0,0.2,8.0,21.0,28
175,长宁仙霞,2026-06-26 03:00:00,优,,23.0,31.0,24.0,0.2,,26.0,
175,长宁仙霞,2026-06-26 04:00:00,优,-,23.0,31.0,11.0,0.3,7.0,27.0,33
175,长宁仙霞,2026-06-26 05:00:00,优,,25.0,32.0,5.0,0.3,7.0,,
175,长宁仙霞,2026-06-26 06:00:00,优,-,28.0,36.0,9.0,0.3,8.0,36.0,40
175,长宁仙霞,2026-06-26 07:00:00,优,-,34.0,43.0,22.0,0.4,9.0,33.0,49
175,长宁仙霞,2026-06-26 08:00:00,优,,26.0,35.0,,0.4,,33.0,
175,长宁仙霞,2026-06-26 09:00:00,优,,,,53.0,,9.0,,
175,长宁仙霞,2026-06-26 10:00:00,优,-,7.0,11.0,83.0,0.5,9.0,22.0,26
175,长宁仙霞,2026-06-26 11:00:00,优,-,7.0,12.0,112.0,0.5,9.0,18.0,35
175,长宁仙霞,2026-06-26 12:00:00,优,-,9.0,16.0,127.0,0.5,9.0,18.0,40
175,长宁仙霞,2026-06-26 13:00:00,优,-,10.0,20.0,142.0,0.5,8.0,17.0,45
175,长宁仙霞,2026-06-26 14:00:00,优,-,13.0,28.0,160.0,0.6,9.0,16.0,50
175,长宁仙霞,2026-06-26 15:00:00,优,O3,17.0,40.0,163.0,0.8,11.0,17.0,54
175,长宁仙霞,2026-06-26 16:00:00,优,O3,18.0,36.0,167.0,0.5,9.0,14.0,59
175,长宁仙霞,2026-06-26 17:00:00,优,O3,21.0,39.0,162.0,0.5,8.0,14.0,53
175,长宁仙霞,2026-06-26 18:00:00,优,-,18.0,31.0,134.0,0.6,9.0,17.0,42
175,长宁仙霞,2026-06-26 19:00:00,优,-,18.0,28.0,102.0,0.5,8.0,22.0,32
175,长宁仙霞,2026-06-26 20:00:00,优,-,18.0,26.0,68.0,0.5,8.0,28.0,26
175,长宁仙霞,2026-06-26 21:00:00,优,-,19.0,26.0,60.0,0.5,8.0,31.0,28
175,长宁仙霞,2026-06-26 22:00:00,优,-,18.0,25.0,63.0,0.6,9.0,27.0,26
175,长宁仙霞,2026-06-26 23:00:00,优,-,19.0,26.0,77.0,0.5,8.0,20.0,28
175,长宁仙霞,2026-06-27 00:00:00,优,-,18.0,24.0,83.0,0.5,8.0,13.0,26
175,长宁仙霞,2026-06-27 01:00:00,优,-,21.0,27.0,81.0,0.2,8.0,11.0,30
183,静安监测站,2026-06-26 02:00:00,优,-,21.0,29.0,44.0,0.5,8.0,25.0,30
183,静安监测站,2026-06-26 03:00:00,优,,31.0,41.0,,0.5,8.0,32.0,
183,静安监测站,2026-06-26 04:00:00,优,-,28.0,37.0,19.0,0.5,8.0,39.0,40
183,静安监测站,2026-06-26 05:00:00,优,-,27.0,36.0,13.0,0.5,8.0,43.0,39
183,静安监测站,2026-06-26 06:00:00,优,-,29.0,37.0,16.0,0.6,10.0,43.0,42
183,静安监测站,2026-06-26 07:00:00,优,-,30.0,38.0,26.0,0.6,10.0,37.0,43
183,静安监测站,2026-06-26 08:00:00,优,-,21.0,26.0,41.0,0.6,10.0,37.0,30
183,静安监测站,2026-06-26 09:00:00,优,-,10.0,13.0,61.0,0.5,9.0,33.0,20
183,静安监测站,2026-06-26 10:00:00,优,-,9.0,12.0,96.0,0.5,9.0,21.0,30
183,静安监测站,2026-06-26 11:00:00,优,-,10.0,12.0,111.0,0.5,10.0,21.0,35
183,静安监测站,2026-06-26 12:00:00,优,-,13.0,16.0,128.0,0.5,10.0,20.0,40
183,静安监测站,2026-06-26 13:00:00,优,-,14.0,16.0,141.0,0.5,8.0,17.0,45
183,静安监测站,2026-06-26 14:00:00,优,-,18.0,20.0,160.0,0.8,9.0,16.0,50
183,静安监测站,2026-06-26 15:00:00,优,-,23.0,25.0,152.0,0.9,11.0,18.0,48
183,静安监测站,2026-06-26 16:00:00,优,-,20.0,22.0,127.0,0.7,10.0,20.0,40
183,静安监测站,2026-06-26 17:00:00,优,-,20.0,23.0,133.0,0.6,9.0,18.0,42
183,静安监测站,2026-06-26 18:00:00,优,-,21.0,28.0,132.0,0.6,8.0,16.0,42
183,静安监测站,2026-06-26 19:00:00,优,-,17.0,28.0,84.0,0.6,8.0,29.0,28
183,静安监测站,2026-06-26 20:00:00,优,-,16.0,27.0,69.0,0.6,8.0,32.0,27
183,静安监测站,2026-06-26 21:00:00,优,-,16.0,28.0,59.0,0.6,9.0,35.0,28
183,静安监测站,2026-06-26 22:00:00,优,-,17.0,30.0,70.0,0.6,10.0,29.0,30
183,静安监测站,2026-06-26 23:00:00,优,-,16.0,29.0,79.0,0.5,8.0,24.0,29
183,静安监测站,2026-06-27 00:00:00,优,-,17.0,30.0,85.0,0.5,8.0,16.0,30
183,静安监测站,2026-06-27 01:00:00,优,-,18.0,33.0,89.0,0.5,8.0,13.0,33
185,十五厂,2026-06-26 02:00:00,优,-,24.0,34.0,46.0,0.5,6.0,22.0,35
185,十五厂,2026-06-26 03:00:00,优,-,29.0,40.0,31.0,0.6,7.0,30.0,42
185,十五厂,2026-06-26 04:00:00,优,-,30.0,40.0,23.0,0.6,6.0,33.0,43
185,十五厂,2026-06-26 05:00:00,优,,26.0,35.0,12.0,0.6,6.0,,
185,十五厂,2026-06-26 06:00:00,优,-,28.0,37.0,17.0,0.6,7.0,44.0,40
185,十五厂,2026-06-26 07:00:00,优,-,28.0,36.0,24.0,0.7,8.0,39.0,40
185,十五厂,2026-06-26 08:00:00,优,-,17.0,23.0,44.0,0.7,8.0,34.0,25
185,十五厂,2026-06-26 09:00:00,优,-,11.0,14.0,61.0,0.6,8.0,31.0,20
185,十五厂,2026-06-26 10:00:00,优,-,9.0,14.0,86.0,0.7,10.0,25.0,27
185,十五厂,2026-06-26 11:00:00,优,-,10.0,15.0,116.0,0.6,7.0,19.0,37
185,十五厂,2026-06-26 12:00:00,优,-,12.0,21.0,129.0,0.5,7.0,19.0,41
185,十五厂,2026-06-26 13:00:00,优,-,16.0,28.0,146.0,0.6,8.0,20.0,46
185,十五厂,2026-06-26 14:00:00,优,-,12.0,22.0,134.0,0.6,7.0,21.0,42
185,十五厂,2026-06-26 15:00:00,优,-,14.0,28.0,138.0,0.7,8.0,18.0,44
185,十五厂,2026-06-26 16:00:00,优,-,15.0,30.0,130.0,0.8,8.0,18.0,41
185,十五厂,2026-06-26 17:00:00,优,-,14.0,27.0,130.0,0.6,7.0,14.0,41
185,十五厂,2026-06-26 18:00:00,优,-,14.0,25.0,116.0,0.6,6.0,16.0,37
185,十五厂,2026-06-26 19:00:00,优,-,14.0,24.0,76.0,0.6,6.0,22.0,24
185,十五厂,2026-06-26 20:00:00,优,-,15.0,24.0,80.0,0.5,6.0,20.0,25
185,十五厂,2026-06-26 21:00:00,优,-,15.0,23.0,77.0,0.5,6.0,19.0,25
185,十五厂,2026-06-26 22:00:00,优,-,15.0,23.0,74.0,0.5,5.0,20.0,24
185,十五厂,2026-06-26 23:00:00,优,-,16.0,23.0,82.0,0.5,6.0,16.0,26
185,十五厂,2026-06-27 00:00:00,优,-,20.0,28.0,84.0,0.5,6.0,15.0,29
