station_id,station_name,monitor_time,quality,primary_pollutant,PM2.5_ug_m3,PM10_ug_m3,O3_ug_m3,CO_mg_m3,SO2_ug_m3,NO2_ug_m3,AQI
175,长宁仙霞,2026-09-07 04:00:00,-,-,13.0,22.0,56.0,0.3,6.0,17.0,22
175,长宁仙霞,2026-09-07 05:00:00,-,-,11.0,17.0,55.0,0.3,6.0,14.0,18
175,长宁仙霞,2026-09-07 06:00:00,-,-,10.0,16.0,56.0,0.2,6.0,17.0,18
175,长宁仙霞,2026-09-07 07:00:00,-,-,12.0,20.0,51.0,0.3,6.0,21.0,20
175,长宁仙霞,2026-09-07 08:00:00,-,-,12.0,21.0,60.0,0.3,6.0,21.0,21
175,长宁仙霞,2026-09-07 09:00:00,-,-,11.0,21.0,77.0,0.3,6.0,13.0,25
175,长宁仙霞,2026-09-07 10:00:00,-,-,11.0,23.0,86.0,0.3,6.0,11.0,27
175,长宁仙霞,2026-09-07 11:00:00,-,-,12.0,27.0,87.0,0.3,6.0,10.0,28
175,长宁仙霞,2026-09-07 12:00:00,-,-,13.0,24.0,95.0,0.3,6.0,8.0,30
175,长宁仙霞,2026-09-07 13:00:00,-,-,12.0,24.0,93.0,0.3,6.0,8.0,30
175,长宁仙霞,2026-09-07 14:00:00,-,-,13.0,24.0,104.0,0.4,7.0,10.0,33
175,长宁仙霞,2026-09-07 15:00:00,-,-,13.0,25.0,103.0,0.5,8.0,10.0,33
175,长宁仙霞,2026-09-07 16:00:00,-,-,11.0,20.0,94.0,0.4,7.0,9.0,30
175,长宁仙霞,2026-09-07 17:00:00,-,-,11.0,21.0,93.0,0.4,7.0,9.0,30
175,长宁仙霞,2026-09-07 18:00:00,-,-,10.0,19.0,93.0,0.3,5.0,7.0,30
175,长宁仙霞,2026-09-07 19:00:00,-,-,11.0,18.0,92.0,0.2,5.0,5.0,29
175,长宁仙霞,2026-09-07 20:00:00,-,-,12.0,20.0,89.0,0.3,5.0,7.0,28
175,长宁仙霞,2026-09-07 21:00:00,-,-,13.0,21.0,94.0,0.3,6.0,7.0,30
175,长宁仙霞,2026-09-07 22:00:00,-,-,12.0,21.0,96.0,0.3,5.0,6.0,30
175,长宁仙霞,2026-09-07 23:00:00,-,-,13.0,21.0,92.0,0.3,5.0,7.0,29
175,长宁仙霞,2026-09-08 00:00:00,-,-,13.0,22.0,90.0,0.3,5.0,8.0,29
175,长宁仙霞,2026-09-08 01:00:00,-,-,13.0,24.0,82.0,0.2,5.0,10.0,26
175,长宁仙霞,2026-09-08 02:00:00,-,-,16.0,28.0,56.0,0.3,5.0,21.0,28
175,长宁仙霞,2026-09-08 03:00:00,-,,19.0,32.0,48.0,0.3,,22.0,
183,静安监测站,2026-09-07 04:00:00,-,-,13.0,22.0,72.0,0.6,7.0,19.0,23
183,静安监测站,2026-09-07 05:00:00,-,-,9.0,17.0,78.0,0.6,7.0,16.0,25
183,静安监测站,2026-09-07 06:00:00,-,-,10.0,19.0,73.0,0.6,8.0,18.0,23
183,静安监测站,2026-09-07 07:00:00,-,-,10.0,19.0,69.0,0.8,7.0,23.0,22
183,静安监测站,2026-09-07 08:00:00,-,-,10.0,22.0,80.0,0.7,7.0,21.0,25
183,静安监测站,2026-09-07 09:00:00,-,-,15.0,34.0,92.0,0.8,7.0,16.0,34
183,静安监测站,2026-09-07 10:00:00,-,-,12.0,22.0,100.0,0.7,7.0,14.0,32
183,静安监测站,2026-09-07 11:00:00,-,-,12.0,24.0,100.0,0.8,8.0,13.0,32
183,静安监测站,2026-09-07 12:00:00,-,-,12.0,23.0,109.0,0.8,8.0,12.0,35
183,静安监测站,2026-09-07 13:00:00,-,-,13.0,23.0,108.0,0.7,8.0,13.0,34
183,静安监测站,2026-09-07 14:00:00,-,-,11.0,19.0,122.0,0.7,8.0,10.0,39
183,静安监测站,2026-09-07 15:00:00,-,-,11.0,19.0,118.0,0.6,8.0,11.0,37
183,静安监测站,2026-09-07 16:00:00,-,-,10.0,18.0,113.0,0.6,7.0,9.0,36
183,静安监测站,2026-09-07 17:00:00,-,-,11.0,23.0,109.0,0.6,7.0,10.0,35
183,静安监测站,2026-09-07 18:00:00,-,-,11.0,20.0,105.0,0.6,7.0,10.0,33
183,静安监测站,2026-09-07 19:00:00,-,-,12.0,20.0,104.0,0.6,7.0,9.0,33
183,静安监测站,2026-09-07 20:00:00,-,-,13.0,23.0,102.0,0.6,7.0,11.0,32
183,静安监测站,2026-09-07 21:00:00,-,-,12.0,22.0,107.0,0.6,7.0,12.0,34
183,静安监测站,2026-09-07 22:00:00,-,-,11.0,20.0,109.0,0.6,7.0,9.0,35
183,静安监测站,2026-09-07 23:00:00,-,-,12.0,21.0,106.0,0.6,7.0,11.0,34
183,静安监测站,2026-09-08 00:00:00,-,-,12.0,21.0,101.0,0.6,7.0,12.0,32
183,静安监测站,2026-09-08 01:00:00,-,-,11.0,20.0,102.0,0.6,7.0,10.0,32
183,静安监测站,2026-09-08 02:00:00,-,-,12.0,20.0,99.0,0.6,7.0,11.0,31
183,静安监测站,2026-09-08 03:00:00,-,,14.0,23.0,,0.6,7.0,17.0,
185,十五厂,2026-09-07 04:00:00,优,-,10.0,15.0,70.0,0.5,5.0,13.0,22
185,十五厂,2026-09-07 05:00:00,优,-,8.0,12.0,72.0,0.4,5.0,13.0,23
185,十五厂,2026-09-07 06:00:00,优,-,8.0,13.0,72.0,0.5,5.0,15.0,23
185,十五厂,2026-09-07 07:00:00,优,-,9.0,17.0,62.0,0.5,6.0,21.0,20
185,十五厂,2026-09-07 08:00:00,优,-,11.0,21.0,62.0,0.6,6.0,24.0,21
185,十五厂,2026-09-07 09:00:00,优,-,10.0,20.0,78.0,0.7,7.0,19.0,25
185,十五厂,2026-09-07 10:00:00,优,-,10.0,21.0,86.0,0.6,6.0,15.0,27
185,十五厂,2026-09-07 11:00:00,优,-,11.0,22.0,88.0,0.5,5.0,13.0,28
185,十五厂,2026-09-07 12:00:00,优,-,12.0,21.0,104.0,0.5,5.0,10.0,33
185,十五厂,2026-09-07 13:00:00,优,-,13.0,23.0,101.0,0.5,5.0,11.0,32
185,十五厂,2026-09-07 14:00:00,优,-,12.0,20.0,103.0,0.4,5.0,11.0,33
185,十五厂,2026-09-07 15:00:00,优,-,12.0,18.0,102.0,0.4,5.0,11.0,32
185,十五厂,2026-09-07 16:00:00,优,-,11.0,18.0,98.0,0.4,5.0,11.0,31
185,十五厂,2026-09-07 17:00:00,优,-,10.0,18.0,96.0,0.4,5.0,11.0,30
185,十五厂,2026-09-07 18:00:00,优,-,10.0,19.0,90.0,0.4,5.0,14.0,29
185,十五厂,2026-09-07 19:00:00,优,-,10.0,17.0,91.0,0.4,5.0,11.0,29
185,十五厂,2026-09-07 20:00:00,优,-,12.0,20.0,91.0,0.4,5.0,12.0,29
185,十五厂,2026-09-07 21:00:00,优,-,11.0,18.0,98.0,0.4,5.0,10.0,31
185,十五厂,2026-09-07 22:00:00,优,-,10.0,18.0,94.0,0.4,5.0,11.0,30
185,十五厂,2026-09-07 23:00:00,优,-,10.0,19.0,89.0,0.4,4.0,13.0,28
185,十五厂,2026-09-08 00:00:00,优,-,10.0,19.0,88.0,0.4,5.0,12.0,28
185,十五厂,2026-09-08 01:00:00,优,-,10.0,18.0,87.0,0.4,5.0,11.0,28
185,十五厂,2026-09-08 02:00:00,优,-,10.0,18.0,88.0,0.4,5.0,10.0,28
185,十五厂,2026-09-08 03:00:00,优,-,10.0,18.0,86.0,0.4,6.0,10.0,27
193,浦东川沙,2026-09-07 04:00:00,优,-,12.0,21.0,60.0,0.7,10.0,22.0,21
193,浦东川沙,2026-09-07 05:00:00,优,-,8.0,16.0,64.0,0.7,10.0,19.0,20
193,浦东川沙,2026-09-07 06:00:00,优,-,10.0,19.0,55.0,0.7,10.0,25.0,19
193,浦东川沙,2026-09-07 07:00:00,优,-,11.0,22.0,50.0,0.8,10.0,31.0,22
193,浦东川沙,2026-09-07 08:00:00,优,-,10.0,19.0,76.0,0.8,9.0,15.0,24
193,浦东川沙,2026-09-07 09:00:00,优,-,10.0,18.0,87.0,0.8,10.0,9.0,28
193,浦东川沙,2026-09-07 10:00:00,优,-,11.0,20.0,83.0,0.8,10.0,14.0,26
193,浦东川沙,2026-09-07 11:00:00,优,-,12.0,21.0,95.0,0.8,10.0,9.0,30
193,浦东川沙,2026-09-07 12:00:00,优,-,12.0,22.0,103.0,0.8,10.0,8.0,33
193,浦东川沙,2026-09-07 13:00:00,优,-,10.0,19.0,106.0,0.7,9.0,6.0,34
193,浦东川沙,2026-09-07 14:00:00,优,-,10.0,19.0,102.0,0.7,10.0,7.0,32
193,浦东川沙,2026-09-07 15:00:00,优,-,9.0,18.0,102.0,0.7,9.0,7.0,32
